Environment,seeds,bottleneck_finding_times,maximal_achievable_pruning_times,maximal_achievable_no_pruning_times,policy_computation_pruning_times,policy_computation_no_pruning_times,pruning_times,pruning_checks,pruning_subsets,no_pruning_times,no_pruning_checks,no_pruning_subsets,query_counts,query_all_counts,information_gain_counts,human_bottlenecks,initial_mdp_state_space_sizes,initial_mdp_action_space_sizes
puddle_4_5_models_0.1,,0.5714099407196045,0.601524829864502,0.6418089866638184,,,0.601524829864502,0,0,0.6418089866638184,0,1,,,,2,16,4
puddle_4_5_models_0.1,,0.5671989917755127,0.6035151481628418,0.6387948989868164,,,0.6035151481628418,0,0,0.6387948989868164,0,1,,,,1,16,4
puddle_4_5_models_0.1,,0.5552420616149902,0.5992369651794434,0.630012035369873,,,0.5992369651794434,0,0,0.630012035369873,0,1,,,,2,16,4
rock_4_5_models_0.1,42.0,0.542248010635376,0.5775768756866455,0.6056180000305176,0.013927936553955078,0.014010906219482422,0.5775768756866455,0,0,0.6056180000305176,0,1,2.0,6.0,2.0,1,16,4
rock_4_5_models_0.1,43.0,0.5370810031890869,0.5908451080322266,0.657480001449585,0.006072998046875,0.006086826324462891,0.5908451080322266,0,0,0.657480001449585,0,1,2.0,2.0,2.0,4,16,4
rock_4_5_models_0.1,44.0,0.5362858772277832,0.5841350555419922,0.6158919334411621,0.01114201545715332,0.008950948715209961,0.5841350555419922,0,0,0.6158919334411621,0,1,4.0,4.0,4.0,2,16,4
rock_4_5_models_0.1,,0.553164005279541,0.6069178581237793,0.6448807716369629,0.03764200210571289,0.03750419616699219,0.6069178581237793,0,0,0.6448807716369629,0,1,6.0,8.0,2.0,3,16,4
rock_4_5_models_0.1,,0.5537168979644775,0.5900201797485352,0.6198399066925049,0.0060939788818359375,0.006067991256713867,0.5900201797485352,0,0,0.6198399066925049,0,1,2.0,2.0,2.0,1,16,4
rock_4_5_models_0.1,,0.554940938949585,0.6117019653320312,0.7180750370025635,0.006116151809692383,0.005819797515869141,0.6117019653320312,0,0,0.7180750370025635,0,1,2.0,2.0,2.0,5,16,4
rock_4_5_models_0.1,,0.546036958694458,0.5955121517181396,0.6230509281158447,,,0.5955121517181396,0,0,0.6230509281158447,0,1,,,,2,16,4
rock_4_5_models_0.1,,0.544842004776001,0.5801689624786377,0.6120429039001465,,,0.5801689624786377,0,0,0.6120429039001465,0,1,,,,1,16,4
rock_4_5_models_0.1,,0.5462648868560791,0.5884931087493896,0.6248538494110107,,,0.5884931087493896,0,0,0.6248538494110107,0,1,,,,2,16,4
